est_diameter_min,est_diameter_max,relative_velocity,miss_distance,absolute_magnitude,hazardous
16,35,56014,1024332,26,0
30,68,7864,32681860,24,0
55,124,55257,65386361,23,0
19,43,41531,12607957,25,0
139,311,67639,71305897,21,0
46,103,18933,28470829,23,0
116,259,43184,34184167,21,0
21,47,38064,26531535,25,0
221,494,33736,56706616,20,0
242,542,56188,61754410,20,0
42,94,27124,6524483,24,0
211,472,42137,52159432,20,1
58,130,107864,54463406,23,0
76,171,45602,37520938,22,0
33,74,29773,69719209,24,0
321,717,13863,36976405,19,0
25,56,32748,4260990,25,0
2,5,48462,58269523,30,0
174,390,44638,52166625,20,0
8,18,68728,56903586,27,0
9,20,57602,58563018,27,0
33,74,29045,74308226,24,0
160,358,4276,60499809,21,0
44,98,49761,9635708,23,0
58,130,25982,73460159,23,0
40,89,19562,62179198,24,0
14,33,37152,27670025,26,0
13,29,24839,1691995,26,0
28,64,64512,22881001,24,0
80,179,52742,62488525,22,0
114,255,26966,57105695,21,0
76,171,41213,74372763,22,0
8,19,6106,6921333,27,0
25,56,23224,5841469,25,0
5,11,52178,62279720,28,0
26,58,26304,7011777,25,0
139,311,61432,34427425,21,0
20,45,12834,3251045,25,0
192,430,20943,25061214,20,0
25,56,20441,64091273,25,0
185,414,54429,44790639,20,0
211,472,66620,73346964,20,0
38,85,34001,2372888,24,0
60,136,36890,26010376,23,0
15,34,28789,11829869,26,0
1,4,41864,46457494,23,0
81,181,79976,6545076,22,0
17,38,63204,58647569,25,0
44,98,32625,73119827,23,0
133,297,36577,71886895,21,0
17,39,70099,63709284,25,0
53,118,19742,10704846,23,0
4,9,25165,351053,29,0
15,34,46756,435460,26,0
24,55,17852,8245804,25,0
265,594,17830,24807966,20,0
152,342,61395,70864100,21,0
92,206,13794,47431360,22,0
4,8,21140,57650648,29,0
58,130,3515,35248448,23,0
27,62,16758,51073620,24,0
8,17,42980,14743447,27,0
265,594,54609,60503166,20,1
13,30,26433,42696586,26,0
22,51,86779,71340082,25,0
40,89,52398,64381263,24,0
27,62,103748,74290502,24,0
31,71,80363,61674164,24,0
63,142,22852,48549400,23,0
25,56,73433,38429036,25,0
46,103,858,23756675,23,0
10,22,20670,1984377,27,0
63,142,59594,55365511,23,0
167,375,24483,37003305,21,0
26,58,60012,63259150,25,0
73,163,33534,24064669,22,0
50,113,20833,71702191,23,0
152,342,61537,62508654,21,1
35,78,20585,56888250,24,0
60,136,63319,60702219,23,0
172,385,69235,70837693,20,0
188,420,52269,53802084,20,1
7,17,35429,49984951,27,0
21,47,11548,21367982,25,0
324,724,7034,43591170,19,0
121,271,79083,50764705,21,0
2,6,34213,316447,29,0
175,392,19045,60651441,20,0
29,65,59538,66062571,24,0
19,43,42071,51448516,25,0
110,247,68056,16214300,21,0
278,622,86434,25968511,19,1
21,47,44895,22287939,25,0
101,225,21145,21409378,22,0
92,206,20261,14340821,22,0
110,247,64571,66053543,21,0
40,89,13695,70801349,24,0
175,392,25738,47898348,20,0
73,163,39761,61385678,22,0
199,446,52839,30168204,20,0
12,28,29824,5401795,26,0
96,215,75321,71750266,22,0
167,375,47673,49361023,21,1
9,20,16464,24888265,27,0
146,326,47897,69188377,23,0
12,27,29588,4993153,26,0
116,259,81773,58215529,21,0
242,542,54159,26051474,20,1
50,113,54348,62607365,23,0
265,594,73589,42362626,20,1
117,261,48510,59761638,21,0
19,43,34816,27261000,25,0
63,141,72005,68531000,23,0
22,49,31466,2792431,25,0
127,284,57272,54886964,21,0
7,17,50034,53745781,27,0
17,39,26988,7899523,25,0
92,206,39118,43548756,22,0
127,284,23665,36315118,23,0
84,189,92513,14163319,22,0
142,317,60788,62300930,21,0
29,66,45738,41688789,24,0
265,594,37930,74385180,20,0
88,196,52684,21487621,22,0
110,247,26359,36689230,21,0
16,35,15421,3787399,26,0
146,326,41590,20226164,21,0
53,118,24483,23187418,23,0
58,130,57014,61267182,23,0
44,100,20141,30398937,23,0
110,247,68239,3264278,21,1
150,335,90754,72286103,21,1
3,8,39721,5772815,29,0
16,35,25815,6715869,26,0
121,271,42390,51929425,21,0
4,9,76321,72338481,29,0
253,567,25401,43599790,20,0
8,19,25388,37188142,27,0
21,48,63927,62937561,25,0
229,512,56786,14001130,20,1
140,314,50481,55614625,21,1
146,326,62012,65768462,21,0
221,494,86703,63607822,20,1
128,287,65771,45936986,21,1
66,149,21230,74796547,23,0
10,22,13950,14841494,27,0
24,54,65529,50438357,25,0
55,124,84996,21095275,23,0
6,13,54966,20013190,28,0
124,277,64663,12910942,21,1
13,29,49230,51861346,26,0
110,247,65775,1235395,21,1
46,103,51599,28343156,23,0
37,83,68304,19832723,24,0
25,140,51686,62284570,25,0
127,284,41337,34784630,21,0
36,82,70099,3580384,24,0
23,51,31098,7370679,25,0
26,58,24721,12361981,25,0
278,622,62671,62952524,19,0
120,269,56102,53207966,21,0
101,225,45192,7418399,22,0
3,8,51720,14102,29,0
63,142,30118,4875414,23,0
201,450,25866,48690673,20,0
10,22,26495,70332330,27,0
29,65,37146,1076245,24,0
61,137,50856,10389330,23,0
96,215,54416,70432771,22,0
44,98,27935,62039509,23,0
92,206,78292,34535262,22,0
60,134,30857,3855750,23,0
11,25,7613,8098367,26,0
84,187,41766,69770453,22,0
38,85,16890,43670716,24,0
35,78,19685,64906291,24,0
42,94,17509,50270024,24,0
296,663,15064,62764066,19,0
10,23,34194,3175505,27,0
12,28,14853,47761521,26,0
46,103,39312,23309846,23,0
11,24,44928,56398061,26,0
25,56,92464,47093354,25,0
199,446,55242,34990220,20,0
76,171,52588,16020761,22,0
183,411,17978,50006076,20,0
246,552,61205,66502053,20,1
10,23,31995,165671,27,0
221,494,85173,4900392,20,1
81,182,28376,20519054,22,0
121,271,39892,52515306,21,0
31,70,66178,10061828,24,0
194,434,34173,54152327,20,0
12,28,29373,1785498,26,0
201,450,48612,36096169,20,0
211,472,32053,66628591,20,0
38,85,32838,18136825,24,0
96,215,46542,65385202,22,0
44,98,56694,29201579,23,0
73,163,37919,15880937,22,0
306,685,64413,57101204,19,0
63,142,53306,48097186,23,0
84,187,24972,33577122,22,0
73,163,37610,15155590,22,0
53,118,98262,61408374,23,0
80,179,84211,46210692,22,0
6,13,29764,31646995,28,0
6,13,63755,6845667,28,0
12,27,57535,65298773,26,0
25,56,52615,2908655,25,0
219,489,65557,70858409,20,0
24,54,44190,59386983,25,0
22,49,17773,16869222,25,0
4,11,43246,178785,28,0
175,392,63721,34558592,20,0
5,13,54644,36400179,28,0
8,17,56479,61463899,27,0
278,622,68682,58723202,19,1
31,71,75374,1070688,24,0
110,247,31673,31659276,21,0
76,171,55895,39747486,22,0
71,159,25768,21658881,22,0
146,326,68499,73898774,21,0
8,19,28284,67711870,27,0
36,82,27638,4155382,24,0
4,9,40314,30399036,29,0
146,326,57344,12513028,21,0
23,51,14772,26195170,25,0
14,32,26209,2958200,26,0
53,118,72686,12483305,23,0
4,10,23365,691047,28,0
101,225,39630,35891182,22,0
76,171,67446,1380243,22,0
36,82,24912,8499900,24,0
23,51,22046,41392575,25,0
20,45,29236,72027246,25,0
44,98,44103,52981088,23,0
110,247,78689,68792098,21,0
76,171,63848,33289946,22,0
31,71,54662,47883436,24,0
28,62,17733,18189337,24,0
96,215,52112,8241560,22,0
92,207,76264,40332934,22,0
63,142,58753,15789830,23,0
27,62,78727,48717086,24,0
34,76,22518,29439159,24,0
133,297,30220,56090213,21,1
18,42,30562,34830779,25,0
35,78,97551,66362864,24,0
29,65,67910,1606008,24,0
139,311,27130,18008458,21,1
88,196,51221,27504309,22,0
242,542,32337,59719670,20,1
319,714,74265,58495335,19,0
40,89,22609,9117631,24,0
36,82,17487,54735633,24,0
110,247,66522,3691696,21,1
80,179,64186,67373657,22,0
18,41,80387,55382275,25,0
197,440,34074,38758417,20,0
211,472,60556,42104406,20,0
291,651,66501,15955841,19,1
36,82,61464,53363416,24,0
282,631,65738,16296306,19,0
18,41,21034,53682761,25,0
17,38,34000,71449172,25,0
12,28,68117,45148726,26,0
242,542,46394,6406118,20,1
8,19,27961,44489635,27,0
175,392,27557,30934796,20,0
13,29,37707,50745157,26,0
13,29,62415,68606837,26,0
63,142,45842,37299165,23,0
36,82,15241,31301123,24,0
26,59,42187,3382137,25,0
69,156,84109,2064824,22,0
99,222,61357,33022352,22,0
26,59,33037,8305095,25,0
10,22,49571,6741002,27,0
110,247,52628,74216641,21,0
21,47,13361,21575510,25,0
265,594,19500,38567487,20,1
88,196,39550,37888458,22,0
55,124,83292,64806917,23,0
21,47,42871,56362163,25,0
31,71,46601,55785295,24,0
19,43,31740,27033605,25,0
16,35,74940,2691988,26,0
88,196,64530,38185465,22,0
88,197,42805,20557659,22,0
18,41,44666,45800563,25,0
24,54,20088,29360408,25,0
221,494,14442,36682479,20,0
75,169,14100,30750669,22,0
14,33,22315,39886392,26,0
211,472,56379,30228293,20,0
127,284,95024,74751310,21,0
114,257,35549,28043795,21,0
16,37,26066,1727312,26,0
101,225,49515,17191418,23,0
35,78,20234,49817201,24,0
24,54,52621,63115192,25,0
227,508,38306,24218981,20,0
26,59,31735,6493721,25,0
36,80,11345,24278975,24,0
22,49,19785,22979184,25,0
13,29,45338,752654,26,0
11,24,40681,32120914,26,0
105,236,66936,20198003,22,0
121,271,53517,51333884,21,0
192,430,108184,66808971,20,0
35,78,19910,65499350,24,0
50,113,35694,45115664,23,0
183,411,33170,42979700,20,0
10,22,18227,4353039,27,0
8,18,39943,48716217,27,0
9,21,57390,54305439,27,0
66,149,39821,14641471,23,0
12,28,31382,4239687,26,0
139,311,83272,52006685,21,0
46,103,110121,59409934,23,0
133,299,46554,57924100,21,1
35,163,60923,16694194,24,0
183,411,60503,73703676,20,0
148,332,48563,46993246,21,0
25,56,51058,51505085,23,0
101,225,35414,32148809,22,0
58,130,54289,26736456,23,0
84,187,71779,48626281,22,0
83,186,24152,43368570,22,0
105,236,94792,25145085,22,1
138,310,85450,71126162,21,0
48,108,84578,68198134,23,0
19,43,24677,54545263,25,0
2,4,10032,8482743,30,0
8,18,48419,33398265,27,0
35,78,53383,30378209,24,0
11,25,28707,616779,26,0
42,94,26371,53064432,24,0
50,113,19633,19706930,23,0
237,532,74675,30677118,20,0
5,11,53662,63702374,28,0
5,13,62902,37709727,28,0
27,62,37318,5750533,24,0
81,181,33965,8061562,22,0
13,31,14963,21983915,26,0
7,17,62448,57789945,27,0
167,375,52191,41507854,21,0
38,85,10078,71427614,24,0
201,450,83989,62825567,20,0
173,387,50500,59649991,20,1
4,9,44062,21758056,28,0
163,364,88167,7360945,21,1
46,103,51935,53008410,23,0
15,34,58011,10386393,26,0
59,133,50084,52405525,23,0
29,66,32949,844025,24,0
183,409,51905,21078573,20,1
6,15,64652,47999637,27,0
11,25,29122,6363684,26,0
13,31,25703,26043266,26,0
20,45,26642,37078642,25,0
96,215,44715,15260087,22,0
96,215,21784,19341909,22,0
139,311,19398,32642264,21,0
116,259,28951,18491149,21,1
101,225,11134,19431004,22,0
29,65,36579,1853354,24,0
42,95,54859,56659655,23,0
319,714,28828,59051507,19,0
76,171,54412,15138337,22,0
22,49,24053,33207777,25,0
16,35,57893,26738390,26,0
55,124,21516,41810282,23,0
133,297,36233,30000765,21,0
6,14,62569,70769987,28,0
14,32,48358,10440647,26,0
12,27,38552,29622543,26,0
46,103,35245,18941892,23,0
60,136,83850,1614208,23,0
11,25,35968,410343,26,0
9,20,64155,74186262,27,0
66,149,61839,8956318,23,0
69,156,44190,45148467,22,0
3,8,65615,36771377,29,0
21,47,32259,7873716,25,0
36,82,49746,22910050,24,0
7,16,30320,1367476,27,0
12,28,22007,32120433,26,0
20,45,12876,21755623,25,0
16,35,26393,53214133,26,0
73,163,94141,8305072,22,0
5,11,24163,58036196,28,0
125,280,39249,23326551,21,0
10,22,20442,5094195,27,0
146,326,59206,33884763,21,0
88,196,30907,6077675,22,0
6,15,39657,29727754,27,0
30,68,66911,66710021,24,0
96,215,47087,25480761,22,0
13,29,55801,2270310,26,0
76,171,20403,37833802,22,0
3,7,38964,38311847,29,0
11,25,8165,6991726,26,0
136,304,77671,64618307,21,0
25,56,23200,9158846,25,0
321,717,58046,41525468,19,0
183,411,73277,53785970,20,0
152,342,19157,53148162,21,0
11,24,17091,33501051,26,0
17,39,21379,57139673,25,0
9,20,38952,1350650,27,0
26,59,25017,7347766,25,0
4,8,29304,3474001,29,0
275,616,33442,45893160,19,0
50,113,45390,27441616,23,0
221,494,77177,61734081,20,0
17,39,66551,56069784,25,0
46,103,31330,65430177,23,0
4,10,9357,17161746,28,0
17,39,24405,47213842,25,0
31,71,28395,11570141,24,0
11,24,49783,43127415,26,0
5,13,14482,56714281,28,0
80,179,44635,45927427,22,0
26,59,44117,66142008,25,0
319,714,59556,32306374,19,0
110,247,20413,65435489,21,0
3,8,19773,39182567,29,0
66,149,45349,17238839,23,0
59,132,30267,13999466,23,0
